CCY,TradeType,Firm,Size,Tenor,Spread
EUR,Vanilla Outright,DB,-1250000.0,1Y,0.4
EUR,Vanilla Outright,DB,-2500000.0,1Y,0.9
EUR,Vanilla Outright,DB,-5000000.0,1Y,1.4
EUR,Vanilla Outright,DB,-12500000.0,1Y,1.8
EUR,Vanilla Outright,DB,-25000000.0,1Y,3.25
EUR,Vanilla Outright,DB,-500000.0,2Y,0.2
EUR,Vanilla Outright,DB,-1250000.0,2Y,0.4
EUR,Vanilla Outright,DB,-2500000.0,2Y,0.9
EUR,Vanilla Outright,DB,-5000000.0,2Y,1.4
EUR,Vanilla Outright,DB,-12500000.0,2Y,1.8
EUR,Vanilla Outright,DB,-25000000.0,2Y,3.25
EUR,Vanilla Outright,DB,-500000.0,5Y,0.4
EUR,Vanilla Outright,DB,-1250000.0,5Y,0.6
EUR,Vanilla Outright,DB,-2500000.0,5Y,1.2
EUR,Vanilla Outright,DB,-5000000.0,5Y,1.7
EUR,Vanilla Outright,DB,-12500000.0,5Y,2.2
EUR,Vanilla Outright,DB,-25000000.0,5Y,4.0
EUR,Vanilla Outright,DB,-500000.0,10Y,0.4
EUR,Vanilla Outright,DB,-1250000.0,10Y,0.6
EUR,Vanilla Outright,DB,-2500000.0,10Y,1.2
EUR,Vanilla Outright,DB,-5000000.0,10Y,1.7
EUR,Vanilla Outright,DB,-12500000.0,10Y,2.2
EUR,Vanilla Outright,DB,-25000000.0,10Y,4.0
EUR,Vanilla Outright,DB,-500000.0,30Y,0.5
EUR,Vanilla Outright,DB,-1250000.0,30Y,1.0
EUR,Vanilla Outright,DB,-2500000.0,30Y,1.5
EUR,Vanilla Outright,DB,-5000000.0,30Y,2.5
EUR,Vanilla Outright,DB,-12500000.0,30Y,5.0
EUR,Vanilla Outright,DB,-25000000.0,30Y,10.0
EUR,Vanilla Outright,BNP,500000.0,1Y,0.5
EUR,Vanilla Outright,BNP,1250000.0,1Y,1.0
EUR,Vanilla Outright,BNP,2500000.0,1Y,2.0
EUR,Vanilla Outright,BNP,5000000.0,1Y,2.5
EUR,Vanilla Outright,BNP,12500000.0,1Y,3.0
EUR,Vanilla Outright,BNP,25000000.0,1Y,4.0
EUR,Vanilla Outright,BNP,500000.0,2Y,0.625
EUR,Vanilla Outright,BNP,1250000.0,2Y,1.25
EUR,Vanilla Outright,BNP,2500000.0,2Y,2.5
EUR,Vanilla Outright,BNP,5000000.0,2Y,3.125
EUR,Vanilla Outright,BNP,12500000.0,2Y,3.75
EUR,Vanilla Outright,BNP,25000000.0,2Y,5.0
EUR,Vanilla Outright,BNP,500000.0,5Y,0.75
EUR,Vanilla Outright,BNP,1250000.0,5Y,1.5
EUR,Vanilla Outright,BNP,2500000.0,5Y,3.0
EUR,Vanilla Outright,BNP,5000000.0,5Y,3.75
EUR,Vanilla Outright,BNP,12500000.0,5Y,4.5
EUR,Vanilla Outright,BNP,25000000.0,5Y,6.0
EUR,Vanilla Outright,BNP,500000.0,10Y,0.9375
EUR,Vanilla Outright,BNP,1250000.0,10Y,1.875
EUR,Vanilla Outright,BNP,2500000.0,10Y,3.75
EUR,Vanilla Outright,BNP,5000000.0,10Y,4.6875
EUR,Vanilla Outright,BNP,12500000.0,10Y,5.625
EUR,Vanilla Outright,BNP,25000000.0,10Y,7.5
EUR,Vanilla Outright,BNP,500000.0,30Y,1.125
EUR,Vanilla Outright,BNP,1250000.0,30Y,2.25
EUR,Vanilla Outright,BNP,2500000.0,30Y,4.5
EUR,Vanilla Outright,BNP,5000000.0,30Y,5.625
EUR,Vanilla Outright,BNP,12500000.0,30Y,6.75
EUR,Vanilla Outright,BNP,25000000.0,30Y,9.0
EUR,Vanilla Outright,BNP,-500000.0,1Y,0.5
EUR,Vanilla Outright,BNP,-1250000.0,1Y,1.0
EUR,Vanilla Outright,BNP,-2500000.0,1Y,2.0
EUR,Vanilla Outright,BNP,-5000000.0,1Y,2.5
EUR,Vanilla Outright,BNP,-12500000.0,1Y,3.0
EUR,Vanilla Outright,BNP,-25000000.0,1Y,4.0
EUR,Vanilla Outright,BNP,-500000.0,2Y,0.625
EUR,Vanilla Outright,BNP,-1250000.0,2Y,1.25
EUR,Vanilla Outright,BNP,-2500000.0,2Y,2.5
EUR,Vanilla Outright,BNP,-5000000.0,2Y,3.125
EUR,Vanilla Outright,BNP,-12500000.0,2Y,3.75
EUR,Vanilla Outright,BNP,-25000000.0,2Y,5.0
EUR,Vanilla Outright,BNP,-500000.0,5Y,0.75
EUR,Vanilla Outright,BNP,-1250000.0,5Y,1.5
EUR,Vanilla Outright,BNP,-2500000.0,5Y,3.0
