CCY,TradeType,Firm,Size,Tenor,Spread
CLP,Vanilla Outright,DB,100000000.0,9M,10.0
CLP,Vanilla Outright,DB,200000000.0,9M,13.0
CLP,Vanilla Outright,DB,500000000.0,9M,16.0
CLP,Vanilla Outright,DB,1000000000.0,9M,20.0
CLP,Vanilla Outright,DB,1500000000.0,9M,25.0
CLP,Vanilla Outright,DB,2000000000.0,9M,30.0
CLP,Vanilla Outright,DB,20000000.0,1Y,4.0
CLP,Vanilla Outright,DB,50000000.0,1Y,7.0
CLP,Vanilla Outright,DB,100000000.0,1Y,10.0
CLP,Vanilla Outright,DB,200000000.0,1Y,13.0
CLP,Vanilla Outright,DB,500000000.0,1Y,16.0
CLP,Vanilla Outright,DB,1000000000.0,1Y,20.0
CLP,Vanilla Outright,DB,1500000000.0,1Y,25.0
CLP,Vanilla Outright,DB,2000000000.0,1Y,30.0
CLP,Vanilla Outright,DB,20000000.0,2Y,4.0
CLP,Vanilla Outright,DB,50000000.0,2Y,7.0
CLP,Vanilla Outright,DB,100000000.0,2Y,10.0
CLP,Vanilla Outright,DB,200000000.0,2Y,13.0
CLP,Vanilla Outright,DB,500000000.0,2Y,16.0
CLP,Vanilla Outright,DB,1000000000.0,2Y,20.0
CLP,Vanilla Outright,DB,1500000000.0,2Y,25.0
CLP,Vanilla Outright,DB,2000000000.0,2Y,30.0
CLP,Vanilla Outright,DB,20000000.0,5Y,4.0
CLP,Vanilla Outright,DB,50000000.0,5Y,7.0
CLP,Vanilla Outright,DB,100000000.0,5Y,10.0
CLP,Vanilla Outright,DB,200000000.0,5Y,13.0
CLP,Vanilla Outright,DB,500000000.0,5Y,16.0
CLP,Vanilla Outright,DB,1000000000.0,5Y,20.0
CLP,Vanilla Outright,DB,1500000000.0,5Y,25.0
CLP,Vanilla Outright,DB,2000000000.0,5Y,30.0
CLP,Vanilla Outright,DB,-20000000.0,6M,4.0
CLP,Vanilla Outright,DB,-50000000.0,6M,7.0
CLP,Vanilla Outright,DB,-100000000.0,6M,10.0
CLP,Vanilla Outright,DB,-200000000.0,6M,13.0
CLP,Vanilla Outright,DB,-500000000.0,6M,16.0
CLP,Vanilla Outright,DB,-1000000000.0,6M,20.0
CLP,Vanilla Outright,DB,-1500000000.0,6M,25.0
CLP,Vanilla Outright,DB,-2000000000.0,6M,30.0
CLP,Vanilla Outright,DB,-20000000.0,9M,4.0
CLP,Vanilla Outright,DB,-50000000.0,9M,7.0
CLP,Vanilla Outright,DB,-100000000.0,9M,10.0
CLP,Vanilla Outright,DB,-200000000.0,9M,13.0
CLP,Vanilla Outright,DB,-500000000.0,9M,16.0
CLP,Vanilla Outright,DB,-1000000000.0,9M,20.0
CLP,Vanilla Outright,DB,-1500000000.0,9M,25.0
CLP,Vanilla Outright,DB,-2000000000.0,9M,30.0
CLP,Vanilla Outright,DB,-20000000.0,1Y,4.0
CLP,Vanilla Outright,DB,-50000000.0,1Y,7.0
CLP,Vanilla Outright,DB,-100000000.0,1Y,10.0
CLP,Vanilla Outright,DB,-200000000.0,1Y,13.0
CLP,Vanilla Outright,DB,-500000000.0,1Y,16.0
CLP,Vanilla Outright,DB,-1000000000.0,1Y,20.0
CLP,Vanilla Outright,DB,-1500000000.0,1Y,25.0
CLP,Vanilla Outright,DB,-2000000000.0,1Y,30.0
CLP,Vanilla Outright,DB,-20000000.0,2Y,4.0
CLP,Vanilla Outright,DB,-50000000.0,2Y,7.0
CLP,Vanilla Outright,DB,-100000000.0,2Y,10.0
CLP,Vanilla Outright,DB,-200000000.0,2Y,13.0
CLP,Vanilla Outright,DB,-500000000.0,2Y,16.0
CLP,Vanilla Outright,DB,-1000000000.0,2Y,20.0
CLP,Vanilla Outright,DB,-1500000000.0,2Y,25.0
CLP,Vanilla Outright,DB,-2000000000.0,2Y,30.0
CLP,Vanilla Outright,DB,-20000000.0,5Y,4.0
CLP,Vanilla Outright,DB,-50000000.0,5Y,7.0
CLP,Vanilla Outright,DB,-100000000.0,5Y,10.0
CLP,Vanilla Outright,DB,-200000000.0,5Y,13.0
CLP,Vanilla Outright,DB,-500000000.0,5Y,16.0
CLP,Vanilla Outright,DB,-1000000000.0,5Y,20.0
CLP,Vanilla Outright,DB,-1500000000.0,5Y,25.0
CLP,Vanilla Outright,DB,-2000000000.0,5Y,30.0
CLP,Vanilla Outright,BNP,20000000.0,6M,15.0
CLP,Vanilla Outright,BNP,50000000.0,6M,30.0
CLP,Vanilla Outright,BNP,100000000.0,6M,60.0
CLP,Vanilla Outright,BNP,200000000.0,6M,120.0
CLP,Vanilla Outright,BNP,500000000.0,6M,170.0
CLP,Vanilla Outright,BNP,1000000000.0,6M,220.0
CLP,Vanilla Outright,BNP,1500000000.0,6M,
CLP,Vanilla Outright,BNP,2000000000.0,6M,
CLP,Vanilla Outright,BNP,20000000.0,9M,15.0
CLP,Vanilla Outright,BNP,50000000.0,9M,30.0
CLP,Vanilla Outright,BNP,100000000.0,9M,60.0
CLP,Vanilla Outright,BNP,200000000.0,9M,120.0
CLP,Vanilla Outright,BNP,500000000.0,9M,170.0
CLP,Vanilla Outright,BNP,1000000000.0,9M,220.0
CLP,Vanilla Outright,BNP,1500000000.0,9M,
CLP,Vanilla Outright,BNP,2000000000.0,9M,
CLP,Vanilla Outright,BNP,20000000.0,1Y,15.0
CLP,Vanilla Outright,BNP,50000000.0,1Y,30.0
CLP,Vanilla Outright,BNP,100000000.0,1Y,60.0
CLP,Vanilla Outright,BNP,200000000.0,1Y,120.0
CLP,Vanilla Outright,BNP,500000000.0,1Y,170.0
CLP,Vanilla Outright,BNP,1000000000.0,1Y,220.0
CLP,Vanilla Outright,BNP,1500000000.0,1Y,
CLP,Vanilla Outright,BNP,2000000000.0,1Y,
CLP,Vanilla Outright,BNP,20000000.0,2Y,20.0
CLP,Vanilla Outright,BNP,50000000.0,2Y,35.0
CLP,Vanilla Outright,BNP,100000000.0,2Y,85.0
CLP,Vanilla Outright,BNP,200000000.0,2Y,145.0
