CCY,TradeType,Firm,Size,Tenor,Spread
ZAR,Vanilla Outright,DB,-10000000.0,5Y,50.0
ZAR,Vanilla Outright,DB,-20000000.0,5Y,100.0
ZAR,Vanilla Outright,DB,-400000.0,10Y,5.0
ZAR,Vanilla Outright,DB,-1000000.0,10Y,10.0
ZAR,Vanilla Outright,DB,-2000000.0,10Y,16.0
ZAR,Vanilla Outright,DB,-4000000.0,10Y,25.0
ZAR,Vanilla Outright,DB,-10000000.0,10Y,60.0
ZAR,Vanilla Outright,DB,-20000000.0,10Y,130.0
ZAR,Vanilla Outright,BNP,400000.0,1Y,2.0
ZAR,Vanilla Outright,BNP,1000000.0,1Y,3.0
ZAR,Vanilla Outright,BNP,2000000.0,1Y,5.0
ZAR,Vanilla Outright,BNP,4000000.0,1Y,8.0
ZAR,Vanilla Outright,BNP,10000000.0,1Y,12.0
ZAR,Vanilla Outright,BNP,20000000.0,1Y,16.0
ZAR,Vanilla Outright,BNP,400000.0,2Y,2.0
ZAR,Vanilla Outright,BNP,1000000.0,2Y,3.0
ZAR,Vanilla Outright,BNP,2000000.0,2Y,6.0
ZAR,Vanilla Outright,BNP,4000000.0,2Y,9.0
ZAR,Vanilla Outright,BNP,10000000.0,2Y,13.0
ZAR,Vanilla Outright,BNP,20000000.0,2Y,17.0
ZAR,Vanilla Outright,BNP,400000.0,5Y,3.0
ZAR,Vanilla Outright,BNP,1000000.0,5Y,4.0
ZAR,Vanilla Outright,BNP,2000000.0,5Y,7.0
ZAR,Vanilla Outright,BNP,4000000.0,5Y,10.0
ZAR,Vanilla Outright,BNP,10000000.0,5Y,14.0
ZAR,Vanilla Outright,BNP,20000000.0,5Y,18.0
ZAR,Vanilla Outright,BNP,400000.0,10Y,3.0
ZAR,Vanilla Outright,BNP,1000000.0,10Y,5.0
ZAR,Vanilla Outright,BNP,2000000.0,10Y,8.0
ZAR,Vanilla Outright,BNP,4000000.0,10Y,12.0
ZAR,Vanilla Outright,BNP,10000000.0,10Y,16.0
ZAR,Vanilla Outright,BNP,20000000.0,10Y,20.0
ZAR,Vanilla Outright,BNP,-400000.0,1Y,2.0
ZAR,Vanilla Outright,BNP,-1000000.0,1Y,3.0
ZAR,Vanilla Outright,BNP,-2000000.0,1Y,5.0
ZAR,Vanilla Outright,BNP,-4000000.0,1Y,8.0
ZAR,Vanilla Outright,BNP,-10000000.0,1Y,12.0
ZAR,Vanilla Outright,BNP,-20000000.0,1Y,16.0
ZAR,Vanilla Outright,BNP,-400000.0,2Y,2.0
ZAR,Vanilla Outright,BNP,-1000000.0,2Y,3.0
ZAR,Vanilla Outright,BNP,-2000000.0,2Y,6.0
ZAR,Vanilla Outright,BNP,-4000000.0,2Y,9.0
ZAR,Vanilla Outright,BNP,-10000000.0,2Y,13.0
ZAR,Vanilla Outright,BNP,-20000000.0,2Y,17.0
ZAR,Vanilla Outright,BNP,-400000.0,5Y,3.0
ZAR,Vanilla Outright,BNP,-1000000.0,5Y,4.0
ZAR,Vanilla Outright,BNP,-2000000.0,5Y,7.0
ZAR,Vanilla Outright,BNP,-4000000.0,5Y,10.0
ZAR,Vanilla Outright,BNP,-10000000.0,5Y,14.0
ZAR,Vanilla Outright,BNP,-20000000.0,5Y,18.0
ZAR,Vanilla Outright,BNP,-400000.0,10Y,3.0
ZAR,Vanilla Outright,BNP,-1000000.0,10Y,5.0
ZAR,Vanilla Outright,BNP,-2000000.0,10Y,8.0
ZAR,Vanilla Outright,BNP,-4000000.0,10Y,12.0
ZAR,Vanilla Outright,BNP,-10000000.0,10Y,16.0
ZAR,Vanilla Outright,BNP,-20000000.0,10Y,20.0
ZAR,Vanilla Outright,RABO,400000.0,1Y,
ZAR,Vanilla Outright,RABO,1000000.0,1Y,
ZAR,Vanilla Outright,RABO,2000000.0,1Y,
