CCY,TradeType,Firm,Size,Tenor,Spread
CAD,Vanilla Outright,BNP,-1000000.0,30Y,7.0
CAD,Vanilla Outright,BNP,-2000000.0,30Y,9.0
CAD,Vanilla Outright,BNP,-5000000.0,30Y,
CAD,Vanilla Outright,BNP,-10000000.0,30Y,
CAD,Vanilla Outright,RABO,200000.0,1Y,
CAD,Vanilla Outright,RABO,500000.0,1Y,
CAD,Vanilla Outright,RABO,1000000.0,1Y,
CAD,Vanilla Outright,RABO,2000000.0,1Y,
CAD,Vanilla Outright,RABO,5000000.0,1Y,
CAD,Vanilla Outright,RABO,10000000.0,1Y,
CAD,Vanilla Outright,RABO,200000.0,2Y,
CAD,Vanilla Outright,RABO,500000.0,2Y,
CAD,Vanilla Outright,RABO,1000000.0,2Y,
CAD,Vanilla Outright,RABO,2000000.0,2Y,
CAD,Vanilla Outright,RABO,5000000.0,2Y,
CAD,Vanilla Outright,RABO,10000000.0,2Y,
CAD,Vanilla Outright,RABO,200000.0,5Y,
CAD,Vanilla Outright,RABO,500000.0,5Y,
CAD,Vanilla Outright,RABO,1000000.0,5Y,
CAD,Vanilla Outright,RABO,2000000.0,5Y,
CAD,Vanilla Outright,RABO,5000000.0,5Y,
CAD,Vanilla Outright,RABO,10000000.0,5Y,
CAD,Vanilla Outright,RABO,200000.0,10Y,
CAD,Vanilla Outright,RABO,500000.0,10Y,
CAD,Vanilla Outright,RABO,1000000.0,10Y,
CAD,Vanilla Outright,RABO,2000000.0,10Y,
CAD,Vanilla Outright,RABO,5000000.0,10Y,
CAD,Vanilla Outright,RABO,10000000.0,10Y,
CAD,Vanilla Outright,RABO,200000.0,30Y,
CAD,Vanilla Outright,RABO,500000.0,30Y,
CAD,Vanilla Outright,RABO,1000000.0,30Y,
CAD,Vanilla Outright,RABO,2000000.0,30Y,
CAD,Vanilla Outright,RABO,5000000.0,30Y,
CAD,Vanilla Outright,RABO,10000000.0,30Y,
CAD,Vanilla Outright,RABO,-200000.0,1Y,
CAD,Vanilla Outright,RABO,-500000.0,1Y,
CAD,Vanilla Outright,RABO,-1000000.0,1Y,
CAD,Vanilla Outright,RABO,-2000000.0,1Y,
CAD,Vanilla Outright,RABO,-5000000.0,1Y,
CAD,Vanilla Outright,RABO,-10000000.0,1Y,
CAD,Vanilla Outright,RABO,-200000.0,2Y,
CAD,Vanilla Outright,RABO,-500000.0,2Y,
CAD,Vanilla Outright,RABO,-1000000.0,2Y,
CAD,Vanilla Outright,RABO,-2000000.0,2Y,
CAD,Vanilla Outright,RABO,-5000000.0,2Y,
CAD,Vanilla Outright,RABO,-10000000.0,2Y,
CAD,Vanilla Outright,RABO,-200000.0,5Y,
CAD,Vanilla Outright,RABO,-500000.0,5Y,
CAD,Vanilla Outright,RABO,-1000000.0,5Y,
CAD,Vanilla Outright,RABO,-2000000.0,5Y,
CAD,Vanilla Outright,RABO,-5000000.0,5Y,
CAD,Vanilla Outright,RABO,-10000000.0,5Y,
CAD,Vanilla Outright,RABO,-200000.0,10Y,
CAD,Vanilla Outright,RABO,-500000.0,10Y,
CAD,Vanilla Outright,RABO,-1000000.0,10Y,
CAD,Vanilla Outright,RABO,-2000000.0,10Y,
CAD,Vanilla Outright,RABO,-5000000.0,10Y,
CAD,Vanilla Outright,RABO,-10000000.0,10Y,
CAD,Vanilla Outright,RABO,-200000.0,30Y,
CAD,Vanilla Outright,RABO,-500000.0,30Y,
CAD,Vanilla Outright,RABO,-1000000.0,30Y,
CAD,Vanilla Outright,RABO,-2000000.0,30Y,
CAD,Vanilla Outright,RABO,-5000000.0,30Y,
CAD,Vanilla Outright,RABO,-10000000.0,30Y,
CAD,Vanilla Outright,Nomura,200000.0,1Y,
CAD,Vanilla Outright,Nomura,500000.0,1Y,
CAD,Vanilla Outright,Nomura,1000000.0,1Y,
CAD,Vanilla Outright,Nomura,2000000.0,1Y,
CAD,Vanilla Outright,Nomura,5000000.0,1Y,
CAD,Vanilla Outright,Nomura,10000000.0,1Y,
CAD,Vanilla Outright,Nomura,200000.0,2Y,
CAD,Vanilla Outright,Nomura,500000.0,2Y,
CAD,Vanilla Outright,Nomura,1000000.0,2Y,
CAD,Vanilla Outright,Nomura,2000000.0,2Y,
CAD,Vanilla Outright,Nomura,5000000.0,2Y,
CAD,Vanilla Outright,Nomura,10000000.0,2Y,
CAD,Vanilla Outright,Nomura,200000.0,5Y,
CAD,Vanilla Outright,Nomura,500000.0,5Y,
CAD,Vanilla Outright,Nomura,1000000.0,5Y,
CAD,Vanilla Outright,Nomura,2000000.0,5Y,
CAD,Vanilla Outright,Nomura,5000000.0,5Y,
CAD,Vanilla Outright,Nomura,10000000.0,5Y,
CAD,Vanilla Outright,Nomura,200000.0,10Y,
CAD,Vanilla Outright,Nomura,500000.0,10Y,
CAD,Vanilla Outright,Nomura,1000000.0,10Y,
CAD,Vanilla Outright,Nomura,2000000.0,10Y,
CAD,Vanilla Outright,Nomura,5000000.0,10Y,
CAD,Vanilla Outright,Nomura,10000000.0,10Y,
CAD,Vanilla Outright,Nomura,200000.0,30Y,
CAD,Vanilla Outright,Nomura,500000.0,30Y,
CAD,Vanilla Outright,Nomura,1000000.0,30Y,
CAD,Vanilla Outright,Nomura,2000000.0,30Y,
CAD,Vanilla Outright,Nomura,5000000.0,30Y,
CAD,Vanilla Outright,Nomura,10000000.0,30Y,
CAD,Vanilla Outright,Nomura,-200000.0,1Y,
CAD,Vanilla Outright,Nomura,-500000.0,1Y,
CAD,Vanilla Outright,Nomura,-1000000.0,1Y,
CAD,Vanilla Outright,Nomura,-2000000.0,1Y,
CAD,Vanilla Outright,Nomura,-5000000.0,1Y,
CAD,Vanilla Outright,Nomura,-10000000.0,1Y,
CAD,Vanilla Outright,Nomura,-200000.0,2Y,
CAD,Vanilla Outright,Nomura,-500000.0,2Y,
CAD,Vanilla Outright,Nomura,-1000000.0,2Y,
CAD,Vanilla Outright,Nomura,-2000000.0,2Y,
CAD,Vanilla Outright,Nomura,-5000000.0,2Y,
CAD,Vanilla Outright,Nomura,-10000000.0,2Y,
CAD,Vanilla Outright,Nomura,-200000.0,5Y,
CAD,Vanilla Outright,Nomura,-500000.0,5Y,
CAD,Vanilla Outright,Nomura,-1000000.0,5Y,
CAD,Vanilla Outright,Nomura,-2000000.0,5Y,
CAD,Vanilla Outright,Nomura,-5000000.0,5Y,
CAD,Vanilla Outright,Nomura,-10000000.0,5Y,
CAD,Vanilla Outright,Nomura,-200000.0,10Y,
CAD,Vanilla Outright,Nomura,-500000.0,10Y,
