CCY,TradeType,Firm,Size,Tenor,Spread
BRL,Vanilla Outright,BNP,5000000.0,5Y,10.0
BRL,Vanilla Outright,BNP,10000000.0,5Y,20.0
BRL,Vanilla Outright,BNP,20000000.0,5Y,35.0
BRL,Vanilla Outright,BNP,50000000.0,5Y,70.0
BRL,Vanilla Outright,BNP,100000000.0,5Y,140.0
BRL,Vanilla Outright,BNP,150000000.0,5Y,280.0
BRL,Vanilla Outright,BNP,1000000.0,10Y,8.0
BRL,Vanilla Outright,BNP,5000000.0,10Y,11.0
BRL,Vanilla Outright,BNP,10000000.0,10Y,15.0
BRL,Vanilla Outright,BNP,20000000.0,10Y,35.0
BRL,Vanilla Outright,BNP,50000000.0,10Y,70.0
BRL,Vanilla Outright,BNP,100000000.0,10Y,140.0
BRL,Vanilla Outright,BNP,150000000.0,10Y,280.0
BRL,Vanilla Outright,RABO,1000000.0,6M,15.0
BRL,Vanilla Outright,RABO,5000000.0,6M,25.0
BRL,Vanilla Outright,RABO,10000000.0,6M,40.0
BRL,Vanilla Outright,RABO,20000000.0,6M,50.0
BRL,Vanilla Outright,RABO,50000000.0,6M,100.0
BRL,Vanilla Outright,RABO,100000000.0,6M,180.0
BRL,Vanilla Outright,RABO,150000000.0,6M,350.0
BRL,Vanilla Outright,RABO,1000000.0,1Y,10.0
BRL,Vanilla Outright,RABO,5000000.0,1Y,20.0
BRL,Vanilla Outright,RABO,10000000.0,1Y,30.0
BRL,Vanilla Outright,RABO,20000000.0,1Y,40.0
BRL,Vanilla Outright,RABO,50000000.0,1Y,50.0
BRL,Vanilla Outright,RABO,100000000.0,1Y,100.0
BRL,Vanilla Outright,RABO,150000000.0,1Y,150.0
BRL,Vanilla Outright,RABO,1000000.0,2Y,10.0
BRL,Vanilla Outright,RABO,5000000.0,2Y,20.0
BRL,Vanilla Outright,RABO,10000000.0,2Y,30.0
BRL,Vanilla Outright,RABO,20000000.0,2Y,40.0
BRL,Vanilla Outright,RABO,50000000.0,2Y,50.0
BRL,Vanilla Outright,RABO,100000000.0,2Y,100.0
BRL,Vanilla Outright,RABO,150000000.0,2Y,150.0
BRL,Vanilla Outright,RABO,1000000.0,5Y,12.0
BRL,Vanilla Outright,RABO,5000000.0,5Y,24.0
BRL,Vanilla Outright,RABO,10000000.0,5Y,36.0
BRL,Vanilla Outright,RABO,20000000.0,5Y,48.0
BRL,Vanilla Outright,RABO,50000000.0,5Y,60.0
BRL,Vanilla Outright,RABO,100000000.0,5Y,120.0
BRL,Vanilla Outright,RABO,150000000.0,5Y,180.0
BRL,Vanilla Outright,RABO,1000000.0,10Y,18.0
BRL,Vanilla Outright,RABO,5000000.0,10Y,36.0
BRL,Vanilla Outright,RABO,10000000.0,10Y,54.0
BRL,Vanilla Outright,RABO,20000000.0,10Y,72.0
BRL,Vanilla Outright,RABO,50000000.0,10Y,90.0
BRL,Vanilla Outright,RABO,100000000.0,10Y,180.0
BRL,Vanilla Outright,RABO,150000000.0,10Y,270.0
BRL,Vanilla Outright,Nomura,1000000.0,6M,10.0
BRL,Vanilla Outright,Nomura,5000000.0,6M,20.0
BRL,Vanilla Outright,Nomura,10000000.0,6M,30.0
BRL,Vanilla Outright,Nomura,20000000.0,6M,40.0
BRL,Vanilla Outright,Nomura,50000000.0,6M,50.0
BRL,Vanilla Outright,Nomura,100000000.0,6M,100.0
BRL,Vanilla Outright,Nomura,150000000.0,6M,150.0
BRL,Vanilla Outright,Nomura,1000000.0,1Y,10.0
BRL,Vanilla Outright,Nomura,5000000.0,1Y,20.0
BRL,Vanilla Outright,Nomura,10000000.0,1Y,30.0
BRL,Vanilla Outright,Nomura,20000000.0,1Y,40.0
BRL,Vanilla Outright,Nomura,50000000.0,1Y,50.0
BRL,Vanilla Outright,Nomura,100000000.0,1Y,100.0
BRL,Vanilla Outright,Nomura,150000000.0,1Y,150.0
BRL,Vanilla Outright,Nomura,1000000.0,2Y,12.0
BRL,Vanilla Outright,Nomura,5000000.0,2Y,24.0
BRL,Vanilla Outright,Nomura,10000000.0,2Y,36.0
BRL,Vanilla Outright,Nomura,20000000.0,2Y,48.0
BRL,Vanilla Outright,Nomura,50000000.0,2Y,60.0
BRL,Vanilla Outright,Nomura,100000000.0,2Y,120.0
BRL,Vanilla Outright,Nomura,150000000.0,2Y,180.0
BRL,Vanilla Outright,Nomura,1000000.0,5Y,18.0
BRL,Vanilla Outright,Nomura,5000000.0,5Y,36.0
BRL,Vanilla Outright,Nomura,10000000.0,5Y,54.0
BRL,Vanilla Outright,Nomura,20000000.0,5Y,72.0
BRL,Vanilla Outright,Nomura,50000000.0,5Y,90.0
BRL,Vanilla Outright,Nomura,100000000.0,5Y,180.0
BRL,Vanilla Outright,Nomura,150000000.0,5Y,270.0
BRL,Vanilla Outright,Nomura,1000000.0,10Y,
BRL,Vanilla Outright,Nomura,5000000.0,10Y,
BRL,Vanilla Outright,Nomura,10000000.0,10Y,
BRL,Vanilla Outright,Nomura,20000000.0,10Y,
BRL,Vanilla Outright,Nomura,50000000.0,10Y,
BRL,Vanilla Outright,Nomura,100000000.0,10Y,
BRL,Vanilla Outright,Nomura,150000000.0,10Y,
BRL,Vanilla Outright,UBS,1000000.0,6M,
BRL,Vanilla Outright,UBS,5000000.0,6M,
BRL,Vanilla Outright,UBS,10000000.0,6M,
BRL,Vanilla Outright,UBS,20000000.0,6M,
BRL,Vanilla Outright,UBS,50000000.0,6M,
BRL,Vanilla Outright,UBS,100000000.0,6M,
BRL,Vanilla Outright,UBS,150000000.0,6M,
BRL,Vanilla Outright,UBS,1000000.0,1Y,
BRL,Vanilla Outright,UBS,5000000.0,1Y,
BRL,Vanilla Outright,UBS,10000000.0,1Y,
BRL,Vanilla Outright,UBS,20000000.0,1Y,
BRL,Vanilla Outright,UBS,50000000.0,1Y,
BRL,Vanilla Outright,UBS,100000000.0,1Y,
BRL,Vanilla Outright,UBS,150000000.0,1Y,
BRL,Vanilla Outright,UBS,1000000.0,2Y,
BRL,Vanilla Outright,UBS,5000000.0,2Y,
BRL,Vanilla Outright,UBS,10000000.0,2Y,
BRL,Vanilla Outright,UBS,20000000.0,2Y,
BRL,Vanilla Outright,UBS,50000000.0,2Y,
BRL,Vanilla Outright,UBS,100000000.0,2Y,
BRL,Vanilla Outright,UBS,150000000.0,2Y,
BRL,Vanilla Outright,UBS,1000000.0,5Y,
BRL,Vanilla Outright,UBS,5000000.0,5Y,
BRL,Vanilla Outright,UBS,10000000.0,5Y,
BRL,Vanilla Outright,UBS,20000000.0,5Y,
BRL,Vanilla Outright,UBS,50000000.0,5Y,
BRL,Vanilla Outright,UBS,100000000.0,5Y,
BRL,Vanilla Outright,UBS,150000000.0,5Y,
BRL,Vanilla Outright,UBS,1000000.0,10Y,
BRL,Vanilla Outright,UBS,5000000.0,10Y,
BRL,Vanilla Outright,UBS,10000000.0,10Y,
BRL,Vanilla Outright,UBS,20000000.0,10Y,
BRL,Vanilla Outright,UBS,50000000.0,10Y,
BRL,Vanilla Outright,UBS,100000000.0,10Y,
BRL,Vanilla Outright,UBS,150000000.0,10Y,
BRL,Vanilla Outright,BMO,1000000.0,6M,
BRL,Vanilla Outright,BMO,5000000.0,6M,
BRL,Vanilla Outright,BMO,10000000.0,6M,
BRL,Vanilla Outright,BMO,20000000.0,6M,
BRL,Vanilla Outright,BMO,50000000.0,6M,
BRL,Vanilla Outright,BMO,100000000.0,6M,
BRL,Vanilla Outright,BMO,150000000.0,6M,
BRL,Vanilla Outright,BMO,1000000.0,1Y,
BRL,Vanilla Outright,BMO,5000000.0,1Y,
BRL,Vanilla Outright,BMO,10000000.0,1Y,
BRL,Vanilla Outright,BMO,20000000.0,1Y,
BRL,Vanilla Outright,BMO,50000000.0,1Y,
BRL,Vanilla Outright,BMO,100000000.0,1Y,
BRL,Vanilla Outright,BMO,150000000.0,1Y,
BRL,Vanilla Outright,BMO,1000000.0,2Y,4.0
BRL,Vanilla Outright,BMO,5000000.0,2Y,6.0
BRL,Vanilla Outright,BMO,10000000.0,2Y,8.0
BRL,Vanilla Outright,BMO,20000000.0,2Y,14.0
