CCY,TradeType,Firm,Size,Tenor,Spread
AUD,Vanilla Outright,DB,-1000000.0,1Y,10.0
AUD,Vanilla Outright,DB,-2000000.0,1Y,15.0
AUD,Vanilla Outright,DB,-5000000.0,1Y,40.0
AUD,Vanilla Outright,DB,-10000000.0,1Y,100.0
AUD,Vanilla Outright,DB,-200000.0,2Y,2.0
AUD,Vanilla Outright,DB,-500000.0,2Y,5.0
AUD,Vanilla Outright,DB,-1000000.0,2Y,10.0
AUD,Vanilla Outright,DB,-2000000.0,2Y,15.0
AUD,Vanilla Outright,DB,-5000000.0,2Y,40.0
AUD,Vanilla Outright,DB,-10000000.0,2Y,100.0
AUD,Vanilla Outright,DB,-200000.0,5Y,2.0
AUD,Vanilla Outright,DB,-500000.0,5Y,5.0
AUD,Vanilla Outright,DB,-1000000.0,5Y,10.0
AUD,Vanilla Outright,DB,-2000000.0,5Y,15.0
AUD,Vanilla Outright,DB,-5000000.0,5Y,40.0
AUD,Vanilla Outright,DB,-10000000.0,5Y,100.0
AUD,Vanilla Outright,DB,-200000.0,10Y,2.0
AUD,Vanilla Outright,DB,-500000.0,10Y,5.0
AUD,Vanilla Outright,DB,-1000000.0,10Y,10.0
AUD,Vanilla Outright,DB,-2000000.0,10Y,15.0
AUD,Vanilla Outright,DB,-5000000.0,10Y,40.0
AUD,Vanilla Outright,DB,-10000000.0,10Y,100.0
AUD,Vanilla Outright,DB,-200000.0,30Y,10.0
AUD,Vanilla Outright,DB,-500000.0,30Y,25.0
AUD,Vanilla Outright,DB,-1000000.0,30Y,50.0
AUD,Vanilla Outright,DB,-2000000.0,30Y,75.0
AUD,Vanilla Outright,DB,-5000000.0,30Y,200.0
AUD,Vanilla Outright,DB,-10000000.0,30Y,500.0
AUD,Vanilla Outright,BNP,200000.0,1Y,1.0
AUD,Vanilla Outright,BNP,500000.0,1Y,2.0
AUD,Vanilla Outright,BNP,1000000.0,1Y,3.0
AUD,Vanilla Outright,BNP,2000000.0,1Y,5.0
AUD,Vanilla Outright,BNP,5000000.0,1Y,10.0
AUD,Vanilla Outright,BNP,10000000.0,1Y,
AUD,Vanilla Outright,BNP,200000.0,2Y,1.0
AUD,Vanilla Outright,BNP,500000.0,2Y,2.0
AUD,Vanilla Outright,BNP,1000000.0,2Y,3.0
AUD,Vanilla Outright,BNP,2000000.0,2Y,5.0
AUD,Vanilla Outright,BNP,5000000.0,2Y,10.0
AUD,Vanilla Outright,BNP,10000000.0,2Y,
AUD,Vanilla Outright,BNP,200000.0,5Y,1.4
AUD,Vanilla Outright,BNP,500000.0,5Y,2.25
AUD,Vanilla Outright,BNP,1000000.0,5Y,3.5
AUD,Vanilla Outright,BNP,2000000.0,5Y,6.0
AUD,Vanilla Outright,BNP,5000000.0,5Y,10.0
AUD,Vanilla Outright,BNP,10000000.0,5Y,
AUD,Vanilla Outright,BNP,200000.0,10Y,1.4
AUD,Vanilla Outright,BNP,500000.0,10Y,2.25
AUD,Vanilla Outright,BNP,1000000.0,10Y,3.5
AUD,Vanilla Outright,BNP,2000000.0,10Y,6.0
AUD,Vanilla Outright,BNP,5000000.0,10Y,10.0
AUD,Vanilla Outright,BNP,10000000.0,10Y,
AUD,Vanilla Outright,BNP,200000.0,30Y,1.6
AUD,Vanilla Outright,BNP,500000.0,30Y,2.75
AUD,Vanilla Outright,BNP,1000000.0,30Y,4.0
AUD,Vanilla Outright,BNP,2000000.0,30Y,
AUD,Vanilla Outright,BNP,5000000.0,30Y,10.0
AUD,Vanilla Outright,BNP,10000000.0,30Y,
AUD,Vanilla Outright,BNP,-200000.0,1Y,1.0
AUD,Vanilla Outright,BNP,-500000.0,1Y,2.0
AUD,Vanilla Outright,BNP,-1000000.0,1Y,3.0
AUD,Vanilla Outright,BNP,-2000000.0,1Y,5.0
AUD,Vanilla Outright,BNP,-5000000.0,1Y,10.0
AUD,Vanilla Outright,BNP,-10000000.0,1Y,
AUD,Vanilla Outright,BNP,-200000.0,2Y,1.0
AUD,Vanilla Outright,BNP,-500000.0,2Y,2.0
AUD,Vanilla Outright,BNP,-1000000.0,2Y,3.0
AUD,Vanilla Outright,BNP,-2000000.0,2Y,5.0
AUD,Vanilla Outright,BNP,-5000000.0,2Y,10.0
AUD,Vanilla Outright,BNP,-10000000.0,2Y,
AUD,Vanilla Outright,BNP,-200000.0,5Y,1.4
AUD,Vanilla Outright,BNP,-500000.0,5Y,2.25
AUD,Vanilla Outright,BNP,-1000000.0,5Y,3.5
AUD,Vanilla Outright,BNP,-2000000.0,5Y,6.0
AUD,Vanilla Outright,BNP,-5000000.0,5Y,10.0
AUD,Vanilla Outright,BNP,-10000000.0,5Y,
AUD,Vanilla Outright,BNP,-200000.0,10Y,1.4
AUD,Vanilla Outright,BNP,-500000.0,10Y,2.25
AUD,Vanilla Outright,BNP,-1000000.0,10Y,3.5
AUD,Vanilla Outright,BNP,-2000000.0,10Y,6.0
AUD,Vanilla Outright,BNP,-5000000.0,10Y,10.0
AUD,Vanilla Outright,BNP,-10000000.0,10Y,
AUD,Vanilla Outright,BNP,-200000.0,30Y,1.6
AUD,Vanilla Outright,BNP,-500000.0,30Y,2.75
AUD,Vanilla Outright,BNP,-1000000.0,30Y,4.0
AUD,Vanilla Outright,BNP,-2000000.0,30Y,
AUD,Vanilla Outright,BNP,-5000000.0,30Y,10.0
AUD,Vanilla Outright,BNP,-10000000.0,30Y,
AUD,Vanilla Outright,RABO,200000.0,1Y,
AUD,Vanilla Outright,RABO,500000.0,1Y,
